incident_id,project_id,incident_date,incident_type,severity,injuries_reported,fatalities,property_damage_million_usd,cause,reported_by,reported_date,resolution_date,emergency_repair_cost_million,insurance_claim_filed,regulatory_notified,description
1,5,11/18/2023,,Medium,3,0,1.229,Deferred maintenance,Local Authority,25/06/2024,09-18-2020,1.077,,State DOT,
2,12,07-13-2023,Sinkhole ,High,12,0,18.113,Contractor error,Local Authority,2023-04-07,2025-04-10,,N,EPA,
3,12,2018/10/26,Flooding,Medium,0,0,1.356,Extreme weather,Site Supervisor,05-06-2023,05-04-2023,-,Pending,Yes,
4,32,2020-10-09,Traffic Accident,HIGH,12,0,12.427,Utility conflict,Contractor,01/28/2018,2023/08/05,20.137,0,OSHA,High severity event. Site temporarily shut down.
5,32,28/08/2021,Sinkhhole,Medium,3,0,1.283,Age/deterioration,Emergency Services,2019-09-02,11/02/2021,,Yes,EPA,Emergency crews responded to sinkhhole on site.
6,32,,Sinkhhole,Medium,1,0,0.205,Material defect,Site Supervisor,,01/12/2023,0.363,N,EPA,
7,35,01-19-2022,Structural Failure,Low,2,0,0.464,Extreme weather,Inspector,2019/06/26,,,Yes,No,Incident under investigation. Preliminary cause: extreme weather.
8,35,,Water Main Break,CRITICAL,0,0,1.065,Unknown,Anonymous Tip,2022/02/19,2018/04/11,0.894,Yes,No,Emergency crews responded to water main break on site.
9,35,12/10/2024,Collapse,Low,0,0,0.855,Material defect,Engineer of Record,15/07/2018,18/02/2023,0.683,No,OSHA,
10,36,09-30-2020,Flooding,Medium,0,0,0.462,Soil instability,State DOT,17/02/2021,2018/12/15,0.767,pending,,Medium severity event. Site temporarily shut down.
11,39,16/11/2020,Traffic Accident,Critical,4,0,9.23,Equipment failure,Local Authority,15/05/2025,2023/04/03,13.675,Y,No,Emergency crews responded to traffic accident on site.
12,45,11-28-2020,Flooding,Medium,2,0,,Utility conflict,Emergency Services,11-20-2023,2025/02/16,2.188,Y,N,Incident under investigation. Preliminary cause: utility conflict.
13,45,05/11/2022,Fire,Low,2,0,2.217,Soil instability,Emergency Services,11/05/2022,06-24-2019,2.121,pending,N,
14,46,,Gas Leak,High,10,0,16.199,Human error,Anonymous Tip,2019/08/31,05-14-2023,25.022,Yes,OSHA,Gas Leak occurred during routine operations.
15,48,08-29-2024,Environmental Spill,Medium,3,0,1.703,Deferred maintenance,Engineer of Record,05-14-2024,2024/08/25,1.515,1,Y,Environmental Spill occurred during routine operations.
16,48,06/17/2023,Traffic Accident,Low,0,0,1.352,Under investigation,Local Authority,2022/02/16,01/06/2021,1.324,1,No,
17,48,04/15/2023,,Low,2,0,0.94,Material defect,Local Authority,2020-06-21,20/04/2022,,Y,State DOT,Collapse occurred during routine operations.
18,48,2020-01-27,Equipment Malfunction,Medium,1,0,1.446,Material defect,Anonymous Tip,09/02/2018,2019/04/17,2.532,,Y,Incident under investigation. Preliminary cause: material defect.
19,49,27/07/2018,Sinkhole ,Medium,1,0,0.238,Design flaw,Emergency Services,08-08-2021,17/10/2023,0.3,N,No,
20,49,2022/11/27,Collapse,Low,3,0,0.624,Human error,State DOT,30/07/2021,2019-01-19,0.605,No,State DOT,
21,49,2020/05/14,Fire,Medium,3,0,2.174,Contractor error,Engineer of Record,24/05/2024,2023-06-26,3.193,Y,State DOT,Incident under investigation. Preliminary cause: contractor error.
22,49,17/04/2021,Equipment Malfunction,Medium,,0,1.592,Equipment failure,Public Report,2019-01-23,,1.5,No,OSHA,Medium severity event. Site temporarily shut down.
23,50,07-14-2023,Water Main Break,High,8,0,11.995,Deferred maintenance,Local Authority,21/11/2022,,17.083,,No,High severity event. Site temporarily shut down.
24,54,2023/02/13,Gas Leak,Low,0,0,0.284,Under investigation,Local Authority,2023-09-02,29/04/2019,0.174,Y,OSHA,Low severity event. Site temporarily shut down.
25,54,2021-03-06,Structural Failure,Medium,2,0,1.425,Vandalism,Contractor,2023/04/12,21/04/2025,2.677,N,Yes,Medium severity event. Site temporarily shut down.
26,56,2023-09-18,Traffic Accident,Medium,1,0,2.48,Age/deterioration,Local Authority,03/05/2019,09-24-2018,4.243,Y,N,
27,56,,Worker Injury,High,0,0,16.282,Age/deterioration,State DOT,2018/09/01,2024/06/18,22.481,pending,State DOT,
28,57,2019-11-01,Collapse,Medium,2,0,0.993,Contractor error,Emergency Services,05-25-2024,01/05/2022,0.717,,N/A,Collapse occurred during routine operations.
