project_id,project_name,state_abbr,category_id,contractor_id,status,budget_million_usd,actual_cost_million_usd,cost_overrun_pct,planned_start_date,actual_start_date,planned_end_date,actual_end_date,federal_funding_pct,congressional_district,project_manager,created_at,last_updated
1,Denver School District Renovation,SC,15,1,On Hold,990.65,N/A,,03/16/2022,2020/07/08,2022-04-26,,39.1,7,Patricia Wilson,2021-06-09,27/10/2022
2,Bridge 736 Structural Repairs,WV,9,1,Active,,2266.48,25.7,09-12-2020,05-26-2024,2026-09-03,,31.2,,Maria Anderson,01/09/2019,19/05/2022
3,Phoenix Flood Control Project,DE,8,21,completed ,,3836.35,-3.2,05/04/2020,29/06/2018,03/28/2024,27/03/2022,38.9,20,Thomas Moore,28/07/2021,01/17/2025
4,Downtown Atlanta Transit Hub,KS,5,11,Completed,1287.63,1610.83,,12/10/2022,,,12-21-2023,46.8,,Jennifer Thomas,10/06/2019,07-17-2023
5,Connecticut Broadband Expansion Phase 376,CT,13,3,Active,2728.33,2932.95,7.5,04-10-2019,2018-04-17,02-02-2024,,49.9,25,Thomas Williams,2018/06/21,06/18/2023
6,Austin Stormwater System,NC,4,26,Completed,1549.74,2095.25,35.2,03/09/2024,06/16/2019,2028-11-11,2022/06/26,23.9,26,Patricia Taylor,2019/12/13,2024-04-21
7,Portland Emergency Communications,IN,4,21,Completed,2580.79,2573.05,?,11-22-2019,21/08/2024,2028-07-06,11/12/2022,30.3,40,Patricia Thomas,11-23-2018,02-28-2025
8,I-576 Safety Improvements,KY,3,25,Active,1015.68,1026.85,1.1,2023-01-16,2020/10/12,08/01/2023,,25.8,19,Michael Thomas,07/05/2019,2023-05-24
9,Nashville Wastewater Treatment Plant,OH,7,5,Active,190.5,185.93,-2.4,2024/04/20,2020-03-08,,,53.2,5,Michael Anderson,07-12-2019,01-31-2025
10,Regional Rail Corridor 520,NJ,7,20,Completed,2236.06,,30.4,12/05/2021,04/30/2023,,2024-01-25,39.9,8,Michael Thomas,2018/09/23,24/02/2022
11,Alaska Broadband Expansion Phase 213,AK,12,2,Completed,4192.12,4984.43,18.9,03-24-2022,07-09-2021,2023/12/11,30/07/2024,74.7,22,Thomas Wilson,2020-10-16,2023-06-26
12,New Orleans Wastewater Treatment Plant,SC,15,15,Active,2262.26,3205.62,41.7,17/01/2021,07/17/2019,03-24-2023,,56.9,,Sarah Davis,2017/04/14,2024-12-23
13,Denver Flood Control Project,VA,7,29,Active,2080.86,2950.66,41.8,03/31/2021,,02-07-2022,,37.9,39,Maria Wilson,2018/08/06,19/07/2024
14,Montana Broadband Expansion Phase 332,MT,2,6,ACTIVE,29.18,33.32,14.2,01-04-2023,12/29/2020,12/09/2025,,38.1,47,Karen Johnson,2018/06/20,01/07/2024
15,Pittsburgh Water Main Upgrade,VT,4,22,On Hold,1519.82,2141.43,40.9,2019-04-05,09-10-2018,22/02/2028,,,13,Karen Anderson,2017-11-03,2022-12-03
16,Route 419 Bridge Replacement,PA,15,16,Active,569.23,723.49,27.1,2022/09/18,14/03/2022,04/16/2026,,46.9,25,Michael Williams,,2025/01/09
17,Wyoming Interstate 212 Reconstruction,WY,15,29,Planning,2494.77,,,01-03-2023,,2028/09/14,,60.3,4,Sarah Johnson,04/04/2019,2024-06-17
18,South Carolina Electric Grid Hardening,SC,11,22,Completed,1714.98,1886.48,10.0,01/24/2020,,2027/04/24,2023-05-09,71.0,20,Patricia Brown,07-09-2021,2024-08-06
19,Downtown New Orleans Transit Hub,AZ,15,7,Active,2538.68,2670.69,5.2,,03/11/2024,,,66.5,25,Lisa Anderson,2020/08/21,06/01/2024
20,Portland Airport Terminal Expansion,NM,11,22,Completed,4059.35,,,07/03/2023,,11/21/2023,12-23-2023,30.2,47,Thomas Taylor,2018-01-12,
21,New Mexico Interstate 740 Reconstruction,NM,7,1,Active,4105.42,3937.1,-4.1,2022-10-30,05/01/2020,15/03/2023,,,34,Robert Davis,01-29-2018,2024-12-14
22,Port of Miami Modernization,MS,15,,Cancelled,3727.78,,,2023/05/02,15/01/2021,2022/07/10,,75.4,44,David Anderson,02-29-2020,
23,Charlotte Water Main Upgrade,OK,4,27,Completed,4010.43,4603.97,14.8,08-29-2021,2018-05-02,,07-11-2024,49.4,,Thomas Moore,2019/06/04,16/01/2023
24,I-96 Safety Improvements,OH,1,3,Completed,3294.75,4553.34,38.2,02/20/2018,10/04/2021,08/22/2026,03/05/2024,66.8,47,Thomas Davis,03-17-2020,03/12/2024
25,Regional Rail Corridor 618,ME,10,5,Delayed,843.98,934.29,-,06/20/2022,07-31-2021,2025-04-08,,64.1,41,Lisa Thomas,05/21/2021,12/05/2023
26,Baltimore Stormwater System,PA,8,20,On Hold,3865.69,5009.93,29.6,2024-02-05,,2026/01/12,,62.1,52,Thomas Thomas,2020/07/30,06/24/2022
27,Downtown Memphis Transit Hub,SC,1,16,Delayed,361.05,493.19,36.6,08/04/2019,2021/11/27,2025/07/01,,40.6,51,Sarah Anderson,17/09/2019,
28,US-399 Resurfacing Project,HI,15,7,N/A,902.54,,,02-14-2021,,09/14/2022,,54.6,52,Thomas Brown,2019/01/20,30/10/2023
29,Seattle Emergency Communications,OK,3,16,Active,1213.46,1266.85,,01-22-2023,,01-10-2026,,77.1,32,Robert Davis,2021-07-28,2024/02/26
30,Route 560 Bridge Replacement,AL,9,27,Active,1785.94,2353.87,31.8,2020-10-10,2021/05/04,2022/05/13,,47.0,23,Maria Taylor,2021-11-08,29/08/2022
31,New York Broadband Expansion Phase 256,NY,5,28,Active,1353.15,1453.28,7.4,2022-05-28,28/06/2023,08-06-2023,,54.6,18,William Moore,02-08-2019,07-14-2024
32,Charlotte Stormwater System,NM,10,5,Completed,203.79,203.79,-0.0,02/26/2023,2018-03-08,2023-05-24,2022-11-20,46.5,n/a,Michael Davis,11/11/2020,28/09/2022
33,Boston Water Main Upgrade,PA,4,13,Active,3700.21,3770.51,1.9,30/06/2019,08/09/2019,2022-10-08,,51.8,1,Karen Brown,,12-21-2023
34,Bridge 766 Structural Repairs,AZ,9,20,delayed,2714.09,3642.31,34.2,2020-09-07,2023-07-21,2026-04-30,,26.8,32,William Thomas,26/05/2017,2024-12-17
35,New Hampshire Broadband Expansion Phase 86,NH,9,18,Active,2147.72,2259.4,5.2,09/29/2019,01/07/2024,08-31-2025,,43.4,41,William Williams,09-28-2018,2024-06-14
36,Sacramento Airport Terminal Expansion,WY,15,1,On Hold,1104.76,,N/A,12/11/2018,07/26/2023,2027-02-08,,50.6,4,Lisa Thomas,12-08-2017,2024-01-24
37,Bridge 184 Structural Repairs,NE,6,4,Active,2166.49,2107.99,-2.7,2022/07/01,10/10/2018,21/03/2027,,72.0,n/a,David Wilson,,02-06-2025
38,Port of Sacramento Modernization,OH,4,17,Delayed,4084.76,4170.54,2.1,20/02/2021,01-17-2019,06-29-2022,,75.3,34,Michael Wilson,28/07/2019,23/06/2022
39,Highway 316 Widening,GA,9,12,On Hold,3580.5,3562.6,-0.5,2021-05-31,06/15/2018,2024-05-30,,70.2,21,Robert Williams,2020-12-27,05-24-2023
